vehicle_id|date|time|latitude|longitude
CA6AFL218|2014-05-19|2014-05-19 08:00:00|35.691656|-115.368103
LAKRM489|2014-05-19|2014-05-19 08:00:00|30.187493|-93.537481
WA063JXD|2014-05-19|2014-05-19 08:00:00|47.675471|-117.236187
ME100AAS|2014-05-19|2014-05-19 08:00:00|44.619094|-67.846205
FLN78197|2014-05-19|2014-05-19 08:00:00|24.702700|-81.143500
CA6AFL218|2014-05-19|2014-05-19 08:10:00|35.763006|-115.335144
LAKRM489|2014-05-19|2014-05-19 08:10:00|30.168498|-93.595159
WA063JXD|2014-05-19|2014-05-19 08:10:00|47.670928|-117.109236
ME100AAS|2014-05-19|2014-05-19 08:10:00|44.699649|-67.470432
FLN78197|2014-05-19|2014-05-19 08:10:00|24.706443|-81.127020
CA6AFL218|2014-05-19|2014-05-19 08:20:00|35.883264|-115.225281
LAKRM489|2014-05-19|2014-05-19 08:20:00|30.151875|-93.636358
WA063JXD|2014-05-19|2014-05-19 08:20:00|47.680175|-117.089323
ME100AAS|2014-05-19|2014-05-19 08:20:00|44.727950|-67.401767
FLN78197|2014-05-19|2014-05-19 08:20:00|24.691471|-81.190191
CA6AFL218|2014-05-19|2014-05-19 08:30:00|35.911527|-115.206312
LAKRM489|2014-05-19|2014-05-19 08:30:00|30.139406|-93.662064
WA063JXD|2014-05-19|2014-05-19 08:30:00|47.687109|-117.070097
ME100AAS|2014-05-19|2014-05-19 08:30:00|44.742584|-67.342716
FLN78197|2014-05-19|2014-05-19 08:30:00|24.660274|-81.273962
CA6AFL218|2014-05-19|2014-05-19 08:40:00|36.044227|-115.181124
LAKRM489|2014-05-19|2014-05-19 08:40:00|30.132280|-93.687170
WA063JXD|2014-05-19|2014-05-19 08:40:00|47.695891|-117.041258
ME100AAS|2014-05-19|2014-05-19 08:40:00|44.746485|-67.264438
FLN78197|2014-05-19|2014-05-19 08:40:00|24.647793|-81.327521
CA6AFL218|2014-05-19|2014-05-19 08:50:00|36.119593|-115.172584
LAKRM489|2014-05-19|2014-05-19 08:50:00|30.126341|-93.702276
WA063JXD|2014-05-19|2014-05-19 08:50:00|47.701436|-117.017912
ME100AAS|2014-05-19|2014-05-19 08:50:00|44.749411|-67.250705
FLN78197|2014-05-19|2014-05-19 08:50:00|24.670258|-81.356360
